,index,today,expiration,strike,optionType,spot,riskFreeRate,optionPremiumPrice
1,0,10-07-2023 09:31,14-07-2023 00:00,80,C,132.04,0.05,52.08891602
2,1,10-07-2023 09:31,14-07-2023 00:00,80,P,132.04,0.05,0.001823991
3,2,10-07-2023 09:31,14-07-2023 00:00,85,C,132.04,0.05,47.0842064
4,3,10-07-2023 09:31,14-07-2023 00:00,85,P,132.04,0.05,0.001869603
5,4,10-07-2023 09:31,14-07-2023 00:00,90,C,132.04,0.05,42.08031876
6,5,10-07-2023 09:31,14-07-2023 00:00,90,P,132.04,0.05,0.001920117
7,6,10-07-2023 09:31,14-07-2023 00:00,95,C,132.04,0.05,37.08188416
8,7,10-07-2023 09:31,14-07-2023 00:00,95,P,132.04,0.05,0.001978305
9,8,10-07-2023 09:31,14-07-2023 00:00,100,C,132.04,0.05,0
10,9,10-07-2023 09:31,14-07-2023 00:00,100,P,132.04,0.05,0.002047443
11,10,10-07-2023 09:31,14-07-2023 00:00,105,C,132.04,0.05,27.09731827
12,11,10-07-2023 09:31,14-07-2023 00:00,105,P,132.04,0.05,0.002123515
13,12,10-07-2023 09:31,14-07-2023 00:00,110,C,132.04,0.05,22.09910526
14,13,10-07-2023 09:31,14-07-2023 00:00,110,P,132.04,0.05,0.002216587
15,14,10-07-2023 09:31,14-07-2023 00:00,115,C,132.04,0.05,17.09802667
16,15,10-07-2023 09:31,14-07-2023 00:00,115,P,132.04,0.05,0.003412871
17,16,10-07-2023 09:31,14-07-2023 00:00,116,C,132.04,0.05,16.11871925
18,17,10-07-2023 09:31,14-07-2023 00:00,116,P,132.04,0.05,0.003447479
19,18,10-07-2023 09:31,14-07-2023 00:00,117,C,132.04,0.05,0
20,19,10-07-2023 09:31,14-07-2023 00:00,117,P,132.04,0.05,0.00348409
21,20,10-07-2023 09:31,14-07-2023 00:00,118,C,132.04,0.05,14.10212139
22,21,10-07-2023 09:31,14-07-2023 00:00,118,P,132.04,0.05,0.003524218
23,22,10-07-2023 09:31,14-07-2023 00:00,119,C,132.04,0.05,0
24,23,10-07-2023 09:31,14-07-2023 00:00,119,P,132.04,0.05,0.003569944
25,24,10-07-2023 09:31,14-07-2023 00:00,120,C,132.04,0.05,0
26,25,10-07-2023 09:31,14-07-2023 00:00,120,P,132.04,0.05,0.003614463
27,26,10-07-2023 09:31,14-07-2023 00:00,121,C,132.04,0.05,0
28,27,10-07-2023 09:31,14-07-2023 00:00,121,P,132.04,0.05,0.004916777
29,28,10-07-2023 09:31,14-07-2023 00:00,122,C,132.04,0.05,0
30,29,10-07-2023 09:31,14-07-2023 00:00,122,P,132.04,0.05,0.006354881
31,30,10-07-2023 09:31,14-07-2023 00:00,123,C,132.04,0.05,0
32,31,10-07-2023 09:31,14-07-2023 00:00,123,P,132.04,0.05,0.006447279
