Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,22-Nov-18,619.1,622.25,628.15,616.75,,620.75,623.11,6632975,4133099492,120189
INFY,EQ,26-Nov-18,620.75,621,628,599.85,621.2,621.45,613.78,15075209,9252894701,263089
INFY,EQ,27-Nov-18,621.45,625.5,641,625.3,641,638.9,634.88,12285851,7800040731,200385
INFY,EQ,28-Nov-18,638.9,640.95,668.7,640,664.5,666.4,659.36,17719890,11683706177,310146
INFY,EQ,29-Nov-18,666.4,671,674.9,658.8,665,661.05,667.03,13399070,8937609219,170549
INFY,EQ,30-Nov-18,661.05,661,672,660.95,670,,667.52,10445773,6972740710,118396
INFY,EQ,03-Dec-18,667.45,673.15,679,665.95,672.45,670.35,670.58,8260890,5539597359,103845
INFY,EQ,04-Dec-18,670.35,672.55,688.25,671.3,683,685.25,682.83,7827923,5345133354,129170
INFY,EQ,05-Dec-18,685.25,683,683.65,672.5,682.05,681.4,678.97,5177288,3515206694,96257
INFY,EQ,06-Dec-18,681.4,676.1,685.45,664.55,669.7,668.5,672.12,8039771,5403659738,229269
INFY,EQ,07-Dec-18,668.5,672,685.75,665.6,681,682.8,679.07,5553948,3771508979,125999
INFY,EQ,10-Dec-18,682.8,669.9,683.8,665.2,670.3,669.2,671.47,5121196,3438717513,119910
INFY,EQ,11-Dec-18,669.2,669.2,681.9,660.6,673.25,674.5,672.27,7120933,4787161579,204697
INFY,EQ,12-Dec-18,674.5,677.1,680.65,670.6,678.1,678.5,675.12,6926183,4675985776,92411
INFY,EQ,13-Dec-18,678.5,682,700,680,695.35,697.75,690.27,7521474,5191853566,187302
INFY,EQ,14-Dec-18,697.75,697.45,713.7,694.4,706.15,706.05,705.93,9560576,6749101215,158039
INFY,EQ,17-Dec-18,706.05,711.85,711.85,692.75,692.75,694.4,697.79,4778465,3334376899,95026
INFY,EQ,18-Dec-18,694.4,686.5,686.5,674.55,677,,679.65,8021298,5451686819,191277
INFY,EQ,19-Dec-18,676.6,671.55,671.55,661.1,664.6,,665.07,8295459,5517046525,263253
INFY,EQ,20-Dec-18,664.85,660,671.55,656.4,666.9,,664.34,11705260,7776239037,237519
INFY,EQ,21-Dec-18,667.05,659.5,659.5,643.45,646.55,646.2,651.1,12802132,8335493758,228130
INFY,EQ,24-Dec-18,646.2,657,658.8,647.6,648.5,649,652.59,8379825,5468562526,140084
INFY,EQ,26-Dec-18,649,647,647,637.35,643.9,644.05,641.76,6178552,3965160752,129003
INFY,EQ,27-Dec-18,644.05,652.75,663.25,649,656.35,656.8,658.16,15333902,10092126951,182988
INFY,EQ,28-Dec-18,656.8,663.35,663.5,653.3,656.1,656.95,658.29,4736598,3118076702,105527
INFY,EQ,31-Dec-18,656.95,660,662,655.8,659.6,658.95,659.27,3373319,2223919550,65442
INFY,EQ,01-Jan-19,658.95,660.95,666.3,654.15,665.95,665.05,660.66,2943390,1944579423,45422
INFY,EQ,02-Jan-19,665.05,666,674,662.05,668,669.05,669.97,7416655,4968962633,108094
INFY,EQ,03-Jan-19,669.05,672,677,663.1,668,669.15,669.66,6827249,4571929258,125781
INFY,EQ,04-Jan-19,669.15,671.75,673.9,651,660.25,661.05,660.17,7889310,5208304589,187590
INFY,EQ,07-Jan-19,661.05,665,673.6,661.5,671.7,,667.51,8046340,5370973787,132736
INFY,EQ,08-Jan-19,671.7,674.95,677.45,668.55,670,670.05,672.86,8621545,5801122720,134369
INFY,EQ,09-Jan-19,670.05,686.2,689.8,664,675.6,676.1,678.41,18130292,12299738075,314702
INFY,EQ,10-Jan-19,676.1,681.6,682,672.55,680.8,679.7,677.63,9572493,6486610276,141449
INFY,EQ,11-Jan-19,679.7,680.2,685.5,672.5,684.35,683.5,679.18,12281903,8341603861,159694
INFY,EQ,14-Jan-19,683.5,707,710.2,695.95,701.3,701.9,701.27,19312937,13543620376,289248
INFY,EQ,15-Jan-19,701.9,707.2,730,707.2,728.3,726.6,721.52,19671304,14193222353,285205
INFY,EQ,16-Jan-19,726.6,729.9,737.8,728.5,735.95,736.8,734.12,9658944,7090838080,175301
INFY,EQ,17-Jan-19,736.8,735.8,739,729.1,733.2,733.35,733.06,6903771,5060865130,155361
INFY,EQ,18-Jan-19,733.35,730,736.2,726.3,734,730.95,730.43,5902151,4311101798,117506
INFY,EQ,21-Jan-19,730.95,738.2,751,734,743.25,745,744.87,8129422,6055327086,207759
INFY,EQ,22-Jan-19,745,741.25,749,734,747,745.35,739.94,6723375,4974904339,184880
INFY,EQ,23-Jan-19,745.35,742.35,742.6,729.2,731.65,731.65,735.7,7212099,5305910422,114457
INFY,EQ,24-Jan-19,731.65,728.1,736.1,721,734,,727.66,7429783,5406365018,138534
INFY,EQ,25-Jan-19,732,728,737.9,724.25,730.3,730.35,731.7,5543112,4055912046,86157
INFY,EQ,28-Jan-19,730.35,731,732.6,719,731,727.95,725.12,7944693,5760882919,128705
INFY,EQ,29-Jan-19,727.95,725.5,732.85,716.5,730.05,727.9,721.76,6760819,4879714903,137242
INFY,EQ,30-Jan-19,727.9,727.9,734.8,721.1,724.3,725.9,726.45,5763026,4186556192,125751
INFY,EQ,31-Jan-19,725.9,726,751.3,726,750,749.55,744.47,13825233,10292423935,265809
INFY,EQ,01-Feb-19,749.55,751.35,762.5,744.5,756.7,,753.37,6276585,4728608322,119145
INFY,EQ,04-Feb-19,757.05,757,762.5,749.2,755.9,755.9,754.39,3945391,2976361897,110537
INFY,EQ,05-Feb-19,755.9,747,759.95,747,755,754.85,753.48,4694366,3537094843,98651
INFY,EQ,06-Feb-19,754.85,755.55,766.95,754.35,763.75,763.3,762.75,5880482,4485360735,150791
INFY,EQ,07-Feb-19,763.3,763.05,769.45,761,763,764,766.2,3961797,3035522378,102039
INFY,EQ,08-Feb-19,764,760,772.25,754.9,760.9,760.9,763.4,5915169,4515625944,92824
INFY,EQ,11-Feb-19,760.9,766.9,768.75,759,760.45,762.8,764.82,5500216,4206653296,101154
INFY,EQ,12-Feb-19,762.8,760.35,760.35,741,750.4,750.45,748.38,7310690,5471189241,148513
INFY,EQ,13-Feb-19,750.45,750.1,759.7,743.65,754,754.9,753.01,5050182,3802821368,133702
INFY,EQ,14-Feb-19,754.9,751,753,737.25,740.35,740.05,745.6,4610535,3437611370,113149
INFY,EQ,15-Feb-19,740.05,742.3,746.5,732.6,742.05,741.95,739.44,5586389,4130795666,93850
INFY,EQ,18-Feb-19,741.95,742.35,747.65,736,741,741.05,739.9,5346825,3956112148,105532
INFY,EQ,19-Feb-19,741.05,739.1,740.55,721.3,724,724.3,726.7,9401334,6831940831,124664
INFY,EQ,20-Feb-19,724.3,727,743,726.05,740.55,740.7,734.78,5210675,3828686486,130965
INFY,EQ,21-Feb-19,740.7,738,738,727.1,734,733.45,732.23,7202786,5274097399,151794
INFY,EQ,22-Feb-19,733.45,732.5,738.2,728,734.9,734.95,733.71,3750833,2752041713,99246
INFY,BL,25-Feb-19,1220.15,734.95,734.95,734.95,734.95,734.95,734.95,1263230,928410888.5,1
INFY,EQ,25-Feb-19,734.95,735.55,758,735.55,755,754.9,749.2,6547552,4905413918,155205
INFY,EQ,26-Feb-19,754.9,748.6,752.6,740.15,741.55,,745.77,8319610,6204521714,188778
INFY,EQ,27-Feb-19,742.5,745,746.4,732.75,734.5,735.25,738.56,5936354,4384324580,181469
INFY,EQ,28-Feb-19,735.25,738.7,742.4,732.3,734.7,734.3,735.59,8559921,6296619714,142436
INFY,EQ,01-Mar-19,734.3,735.5,743.4,735.5,741.8,741.9,740,3998826,2959115940,86883
INFY,EQ,05-Mar-19,741.9,740.5,742.5,730.25,732.75,732.5,734.79,4826505,3546464354,187167
INFY,EQ,06-Mar-19,732.5,736.1,736.1,727,732.25,732.5,732.02,6076668,4448254459,201307
INFY,EQ,07-Mar-19,732.5,734,734.5,720.55,723.3,722.95,724.84,5951551,4313906550,132988
INFY,EQ,08-Mar-19,722.95,722.95,722.95,710.65,713.2,712.35,714.77,7193994,5142023172,154378
INFY,EQ,11-Mar-19,712.35,713.3,718.5,709.4,711.05,711.25,712.07,9932198,7072398151,173911
INFY,EQ,12-Mar-19,711.25,709,714.95,705.6,706.75,706.95,708.99,11997387,8505977967,224748
INFY,EQ,13-Mar-19,706.95,710,718.6,706.3,709,708.45,710.81,11348867,8066893617,183506
INFY,EQ,14-Mar-19,708.45,714,714.9,706.2,708.45,708.35,710.02,6415187,4554911141,158840
INFY,EQ,15-Mar-19,708.35,712,723.75,709.6,720,718.55,717.57,14638664,10504207795,174230
INFY,EQ,18-Mar-19,718.55,721.55,723.7,705.35,709.5,710.2,715,8065544,5766884632,169894
INFY,EQ,19-Mar-19,710.2,712.8,726.5,707.4,725.9,722.25,715.22,8917337,6377897941,165399
INFY,EQ,20-Mar-19,722.25,727.25,742.3,727.15,737.8,738.95,737.53,13471173,9935368276,368666
INFY,BL,22-Mar-19,734.95,738.95,738.95,738.95,738.95,738.95,738.95,1727935,1276857568,1
INFY,EQ,22-Mar-19,738.95,745,746.35,732.3,745,,741.4,8883260,6586009783,186950
INFY,EQ,25-Mar-19,743.1,742.4,742.4,730.55,733.95,735.25,735.24,7644966,5620907955,150353
INFY,EQ,26-Mar-19,735.25,735.25,735.25,719.1,727.8,727.75,724.65,9406261,6816221095,220918
INFY,EQ,27-Mar-19,727.75,730,732.3,727.15,728.9,729.7,730.32,7387487,5395199921,122789
INFY,EQ,28-Mar-19,729.7,730,745,730,739.1,737.8,739.73,9277241,6862616741,187881
INFY,EQ,29-Mar-19,737.8,743.9,747.95,740,742.15,743.85,743.49,6924061,5147991154,155083
INFY,EQ,01-Apr-19,743.85,742,760,742,753.75,,754.32,6584982,4967199560,149150
INFY,EQ,02-Apr-19,755.1,759,765.8,754.6,755,759.4,760.56,7283600,5539625143,169885
INFY,EQ,03-Apr-19,759.4,756,758.5,746.8,751.65,753.3,752.48,6897127,5189955761,200625
INFY,EQ,04-Apr-19,753.3,751.4,753.8,745.1,748.95,747.9,748.43,7688525,5754345633,178872
INFY,EQ,05-Apr-19,747.9,750.9,760.95,748,759.55,759.3,758.69,6276040,4761576373,148065
INFY,EQ,08-Apr-19,759.3,763.05,770,755.4,769.15,767.25,762.8,4919911,3752910224,143815
INFY,EQ,09-Apr-19,767.25,770,773,758.2,760.8,,765.16,6730692,5150087735,146107
INFY,EQ,10-Apr-19,760.6,764,766.7,751.3,752.85,752.7,759.53,7031088,5340336511,134089
INFY,EQ,11-Apr-19,752.7,751.75,751.75,740.05,743.4,742.7,744.27,8200995,6103734443,158348
INFY,EQ,12-Apr-19,742.7,743.1,751.55,740.6,748,747.75,746.82,7043212,5260021361,165165
INFY,EQ,15-Apr-19,747.75,724.7,731.35,712.6,728.2,,724.58,31574803,22878628207,566543
INFY,EQ,16-Apr-19,727.5,727.9,727.9,714.1,724,724.1,722.4,12524411,9047646706,343101
INFY,EQ,18-Apr-19,724.1,722.5,722.5,712.75,715.7,717.05,716.8,13801105,9892653589,302789
INFY,EQ,22-Apr-19,717.05,717.05,725.75,715,721.3,721.05,721.04,6455426,4654646597,115955
INFY,EQ,23-Apr-19,721.05,723.9,730,718.4,725.8,728.2,726.32,5516668,4006855184,130836
INFY,EQ,24-Apr-19,728.2,728.2,737.9,724,735,736.45,733.43,8285120,6076539568,174385
INFY,EQ,25-Apr-19,736.45,736.45,737.65,727.05,730.05,728.55,730.72,8005235,5849611510,174336
INFY,EQ,26-Apr-19,728.55,731,739.8,729,738.6,738,736.11,6895168,5075636518,151426
INFY,EQ,30-Apr-19,738,738,753.8,738,748.85,751.35,748.61,9920046,7426241722,165676
INFY,EQ,02-May-19,751.35,747,748.4,729.5,730.8,730.8,738.19,6351352,4688477303,115522
INFY,EQ,03-May-19,730.8,722.9,731,718.2,723.65,723.6,725.26,6348116,4604058031,133663
INFY,EQ,06-May-19,723.6,715,721.8,710.65,717.15,718.4,718.07,8858265,6360864406,148896
INFY,EQ,07-May-19,718.4,720.4,727.9,718.7,724.4,724.55,724.51,5747536,4164126683,104342
