Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,08-May-19,724.55,721,726,716.5,718.95,719.35,721.65,6247642,4508602896,162077
INFY,EQ,09-May-19,719.35,719.15,730.3,715.8,722,721.05,724.48,7396525,5358635227,242225
INFY,EQ,10-May-19,721.05,720.8,726,715,716.5,716.85,717.88,8352335,5995942203,181229
INFY,EQ,13-May-19,716.85,716.55,726.45,712.1,718,719.7,720.09,6808993,4903097929,201194
INFY,EQ,14-May-19,719.7,716.5,717.75,703.6,713.6,713.85,711.18,10513001,7476675551,252851
INFY,EQ,15-May-19,713.85,714.9,725.2,712.6,715.35,716.1,719.58,6668929,4798849589,139499
INFY,EQ,16-May-19,716.1,720,737,719.1,733.15,733.1,730.03,6468556,4722270061,137776
INFY,EQ,17-May-19,733.1,733.15,735.8,720.1,724.5,723.9,725.44,8155948,5916646101,126562
INFY,EQ,20-May-19,723.9,719.7,726.4,706,721.3,722.4,719.31,11213708,8066098169,209544
INFY,EQ,21-May-19,722.4,722.65,722.65,707.7,709.25,709.3,712.09,8645535,6156377506,170212
INFY,EQ,22-May-19,709.3,710,718.25,707,709.95,709.75,712.73,5795713,4130757868,141566
INFY,EQ,23-May-19,709.75,715,716.7,697.45,703.8,701.05,708.67,7233736,5126301904,176571
INFY,EQ,24-May-19,701.05,703.8,711.75,700.45,709,709.2,706.58,7016424,4957669574,143196
INFY,EQ,27-May-19,709.2,707.4,713.8,705.5,709.5,708.1,711.8,10247544,7294165659,89920
INFY,EQ,28-May-19,708.1,712,733.45,709.8,726.25,728.1,725.58,23860490,17312718820,195730
INFY,EQ,29-May-19,728.1,725.5,733.65,723.65,727,727.8,729.38,10293077,7507528235,121851
INFY,EQ,30-May-19,727.8,727,737.25,722.55,732.6,733.55,733.51,15089296,11068104089,149521
INFY,EQ,31-May-19,733.55,736.5,742.95,733.2,737,737.75,737.91,8290306,6117494485,138065
INFY,EQ,03-Jun-19,737.75,729.8,750.9,729,745.15,744.65,742.27,7744761,5748728043,97774
INFY,EQ,04-Jun-19,744.65,737.25,739.45,733.15,734.9,735.3,736.49,11733702,8641713183,109238
INFY,EQ,06-Jun-19,735.3,736.5,744.65,733.65,735.5,735.6,736.86,7563925,5573564234,124258
INFY,EQ,07-Jun-19,735.6,735.85,743.95,735.85,738.5,739.1,739.65,3218358,2380445779,98025
INFY,EQ,10-Jun-19,739.1,740.1,754.1,740.1,753,753.5,751.37,4435148,3332437616,124012
INFY,EQ,11-Jun-19,753.5,755,759,750.5,754,754.9,754.71,5733127,4326875501,131848
INFY,EQ,12-Jun-19,754.9,756.95,756.95,745,753,753.8,750.69,8738342,6559815655,169526
INFY,EQ,13-Jun-19,753.8,740,747.2,740,742.2,742.65,743.56,4808577,3575457338,97174
INFY,EQ,14-Jun-19,742.65,743.85,745.5,738.25,739.6,740.45,741.51,5556353,4120112207,105007
INFY,EQ,17-Jun-19,740.45,743,744.5,737.8,739.05,740.55,741.8,3085588,2288895910,72650
INFY,EQ,18-Jun-19,740.55,740.2,752.45,740.2,751.45,750.15,749.2,6202838,4647146093,150082
INFY,EQ,19-Jun-19,750.15,752.5,755.4,748.6,751.95,751.9,751.2,4596253,3452713824,91764
INFY,EQ,20-Jun-19,751.9,737.8,756.9,735.9,754.95,754.9,749.22,7148684,5355932052,113630
INFY,EQ,21-Jun-19,754.9,755,755,747.15,751.75,750.2,750.28,13200318,9903909135,122666
INFY,EQ,24-Jun-19,750.2,751.9,751.9,742.65,745,745.5,747.99,4758178,3559059442,70416
INFY,EQ,25-Jun-19,745.5,744,750.9,737.3,745.45,748.1,744.67,3677911,2738811697,118947
INFY,EQ,26-Jun-19,748.1,743,751.45,738,739.4,739.2,743.56,5447130,4050265777,98489
INFY,EQ,27-Jun-19,739.2,742,744.7,728.15,731.7,730.55,733.31,11122346,8156165447,145135
INFY,EQ,28-Jun-19,730.55,735.5,739.5,728.5,731.7,732,732.85,5919494,4338124834,116890
INFY,EQ,01-Jul-19,732,735,737.5,729.85,731.7,731.3,733.32,3224968,2364922428,101260
INFY,EQ,02-Jul-19,731.3,734,741.65,730.1,739.5,740,734.99,4837606,3555605380,88954
INFY,EQ,03-Jul-19,740,741,743.2,730,731.7,731.3,736.8,5958379,4390116575,133416
INFY,EQ,04-Jul-19,731.3,729,736.4,728.6,732.5,733.8,733.38,3274064,2401148622,97167
INFY,EQ,05-Jul-19,733.8,735,736.4,713.5,718,718,723.71,4926289,3565194468,113048
INFY,EQ,08-Jul-19,718,716.45,724.95,712.3,717.2,717.6,717.2,7177092,5147414056,111837
INFY,EQ,09-Jul-19,717.6,718,719.85,709.05,713.8,715.5,713.79,5022638,3585086283,121716
INFY,EQ,10-Jul-19,715.5,709,722.7,706.5,717.55,717.25,716.16,7573816,5424075999,130598
INFY,EQ,11-Jul-19,717.25,719.45,723.5,709.6,722.4,721.5,716.61,6252688,4480742890,104709
INFY,EQ,12-Jul-19,721.5,722.5,730.6,719.6,730.05,726.75,724.08,7874441,5701708861,122936
INFY,EQ,15-Jul-19,726.75,763,781.65,754.2,779.4,779.35,769.12,31064152,23891946222,665352
INFY,EQ,16-Jul-19,779.35,777,787.8,776,782.9,784.85,782.56,9924322,7766341596,231682
INFY,EQ,17-Jul-19,784.85,783.9,795,776.75,794,794.15,789.65,6754348,5333567144,159078
INFY,EQ,18-Jul-19,794.15,789.05,798.5,786.2,791.75,792.7,793.85,6534471,5187412944,148380
INFY,EQ,19-Jul-19,792.7,788.7,794.5,781.25,785,785.4,786.53,6812754,5358405148,96268
INFY,EQ,22-Jul-19,785.4,785.95,792,782.05,784.1,784.4,787.13,7107151,5594276879,132725
INFY,EQ,23-Jul-19,784.4,787,804,785.55,790,790.05,795.33,10782564,8575674727,207585
INFY,EQ,24-Jul-19,790.05,788,793.75,783.6,786.65,786.3,786.78,5745146,4520166052,236924
INFY,EQ,25-Jul-19,786.3,788.25,800.2,787.65,792.9,794.5,793.82,9773568,7758491817,259756
INFY,EQ,26-Jul-19,794.5,792.3,795,782.2,789.5,787,786.88,4941763,3888567432,201172
INFY,EQ,29-Jul-19,787,789.5,796.95,786.2,791.85,791.45,790.84,6244316,4938229661,190597
INFY,EQ,30-Jul-19,791.45,791.9,797.8,788.55,791.65,792.7,793.92,8673253,6885836889,193679
INFY,EQ,31-Jul-19,792.7,790.85,799.8,781.6,795,793.65,792.38,7350584,5824475368,209577
INFY,EQ,01-Aug-19,793.65,786.45,788.4,764.4,770.25,768.85,774.33,10066407,7794755234,216329
INFY,EQ,02-Aug-19,768.85,765.05,779.9,762.25,774.75,775.6,770.48,10838336,8350680485,227612
INFY,EQ,05-Aug-19,775.6,772.6,785.9,768.65,776.8,776.7,777.83,9976238,7759839281,281736
INFY,EQ,06-Aug-19,776.7,778.8,783.7,769.8,775.3,774.45,776.57,9331718,7246765644,199427
INFY,EQ,07-Aug-19,774.45,778.9,783.45,772.35,776.05,776.1,778.99,5130457,3996582934,157512
INFY,EQ,08-Aug-19,776.1,782.7,792.75,781.25,787.1,788.75,787.81,8009009,6309550990,171889
INFY,EQ,09-Aug-19,788.75,792,796.75,784.8,790,789.85,790.13,4362520,3446958075,77391
INFY,EQ,13-Aug-19,789.85,784.15,786,760.15,764,764.75,772.53,7517099,5807216873,161749
INFY,EQ,14-Aug-19,764.75,775.1,778.25,768,772.8,774.8,773.33,5940968,4594357881,154633
INFY,EQ,16-Aug-19,774.8,780,780.05,762.5,775,774.55,772.37,5128088,3960775632,125413
INFY,EQ,19-Aug-19,774.55,775.6,783,773.35,778,777.65,779.02,3881451,3023717275,107402
INFY,EQ,20-Aug-19,777.65,785.2,798,783.85,792.5,792.75,793.28,8435344,6691567043,140808
INFY,EQ,21-Aug-19,792.75,793,803.75,793,799.25,799.45,799.47,5926896,4738350175,154752
INFY,EQ,22-Aug-19,799.45,799.9,801.3,792.35,795.4,795.7,797,5222488,4162305017,136435
INFY,EQ,23-Aug-19,795.7,796.45,809.95,795.8,801.25,802.2,802.51,6895015,5533306730,151009
INFY,EQ,26-Aug-19,802.2,795.9,806.8,786.9,804.3,802.55,799.09,5412074,4324723248,141654
INFY,EQ,27-Aug-19,802.55,791,794.95,781.1,785.5,784.65,785.23,16061642,12612131007,242098
INFY,EQ,28-Aug-19,784.65,787.4,805,786.3,803.5,802.5,796.96,5881134,4687024731,113678
INFY,EQ,29-Aug-19,802.5,795.5,809.7,795.5,808.3,806.95,805.11,7830413,6304378192,117244
INFY,EQ,30-Aug-19,806.95,810,817.35,802,814.75,814.9,809.24,8174186,6614876749,144388
INFY,EQ,03-Sep-19,814.9,815,822.4,812.05,812.75,814.25,816.96,5647088,4613455970,109072
INFY,EQ,04-Sep-19,814.25,810.75,822.45,810.25,819.9,821.3,818.11,6199015,5071479097,124357
INFY,EQ,05-Sep-19,821.3,830.1,837.5,826.65,835.1,834.05,833,7926895,6603073399,242554
INFY,EQ,06-Sep-19,834.05,843.3,847,835.05,840.25,840.15,840.49,6106841,5132762932,171032
INFY,EQ,09-Sep-19,840.15,836.8,840.3,827.55,830,829.1,830.92,4377870,3637654796,122479
INFY,EQ,11-Sep-19,829.1,822.3,828.55,814.15,822.1,820.1,818.82,7981036,6535045006,162235
INFY,EQ,12-Sep-19,820.1,816.4,819.85,810.85,817.6,816.4,816.08,4400017,3590752490,110552
INFY,EQ,13-Sep-19,816.4,818.1,831.05,817.5,829.8,829.3,824.18,4832021,3982478489,93586
INFY,EQ,16-Sep-19,829.3,832.05,837.95,820.55,827.6,827.7,827.38,4846496,4009906892,137629
INFY,EQ,17-Sep-19,827.7,831.5,835,820.55,832.35,831.25,827.54,5540901,4585299188,135783
INFY,EQ,18-Sep-19,831.25,829.9,832.95,824,831.45,829.85,828.68,3199389,2651273644,115862
INFY,EQ,19-Sep-19,829.85,824.85,827,815.2,820.3,820.7,820.99,6601607,5419828833,120499
INFY,EQ,20-Sep-19,820.7,822.9,835,802,807.3,805,811.86,22462366,18236400807,277034
INFY,EQ,23-Sep-19,805,806.9,806.9,741.9,765,764.35,770.66,17279260,13316370233,423674
INFY,EQ,24-Sep-19,764.35,765,798.65,765,794,794.05,785.94,13717998,10781580308,236139
INFY,EQ,25-Sep-19,794.05,787.7,801,781.65,790.75,792.65,793.69,9313576,7392081925,257048
INFY,EQ,26-Sep-19,792.65,787.75,797,778.1,784.6,782.55,783.93,18442824,14457802893,178651
INFY,EQ,27-Sep-19,782.55,787.05,794.25,780.1,782.2,782.2,785.46,5087642,3996126505,161432
INFY,EQ,30-Sep-19,782.2,785.1,808,784.15,804.2,805.65,801.63,8178091,6555812643,156000
INFY,EQ,01-Oct-19,805.65,807,807.55,791.55,794.95,793.55,796.66,5881438,4685487403,172253
INFY,EQ,03-Oct-19,793.55,792.55,797.85,784.15,786.4,785.6,791.93,5497672,4353793070,166567
INFY,EQ,04-Oct-19,785.6,790,797.6,787.05,792.3,793.45,794.32,8201713,6514820231,114239
INFY,EQ,07-Oct-19,793.45,794.85,802,786.1,788.8,789.55,791.09,3679845,2911078095,118304
INFY,EQ,09-Oct-19,789.55,795.45,795.9,778.8,783.75,783.65,783.69,6335025,4964668558,148580
INFY,EQ,10-Oct-19,783.65,785.4,794.7,776.6,782.5,783.05,786.97,10402917,8186820532,123048
INFY,EQ,11-Oct-19,783.05,781.5,823.8,776.6,815,814.8,807.01,20636344,16653757511,318660
INFY,EQ,14-Oct-19,814.8,786.75,797,780,786.3,786.1,789.64,15150858,11963746230,308844
INFY,EQ,15-Oct-19,786.1,773.1,775.95,765,769,768.3,769.68,13762133,10592375903,298596
INFY,EQ,16-Oct-19,768.3,765.25,775.95,761.55,771,771.45,770.12,10767032,8291883881,258065
INFY,EQ,17-Oct-19,771.45,767,770.55,765.1,769.4,769.5,768.53,9860495,7578123004,202471
INFY,EQ,18-Oct-19,769.5,763.8,773.8,760,767.5,767.85,767.62,10037200,7704758992,187743
INFY,EQ,22-Oct-19,767.85,691.1,691.1,638.35,640,643.55,658.16,90152532,59334453057,1643015
INFY,EQ,23-Oct-19,643.55,630,656.65,615.1,650.35,650.6,643.94,60516887,38969147749,1059289
INFY,EQ,24-Oct-19,650.6,650,653.2,632,634.7,635.35,643.72,25666433,16521876123,393942
INFY,EQ,25-Oct-19,635.35,647,652.5,636,637.1,637.45,643.66,16549337,10652215420,327171
INFY,EQ,27-Oct-19,637.45,651.1,652.5,645.55,649.95,648.85,648.43,2945433,1909914669,67356
INFY,EQ,29-Oct-19,648.85,651,653.75,647,650.9,650.65,650.33,16709764,10866929875,309792
INFY,EQ,30-Oct-19,650.65,660.4,671.4,656.2,662.25,660.6,664.01,22879467,15192276718,319118
INFY,EQ,31-Oct-19,660.6,668.4,695.45,666.1,687,685.6,685.39,27405901,18783689652,424958
INFY,EQ,01-Nov-19,685.6,690,694,682.6,688.9,687.9,688.47,9713519,6687468933,181647
INFY,EQ,04-Nov-19,687.9,681.8,732.5,678.15,710.1,709,714.2,29381982,20984607124,384467
INFY,EQ,05-Nov-19,709,708.75,708.75,691.5,695.05,696.1,699.32,12897805,9019750145,204502
INFY,EQ,06-Nov-19,696.1,695.8,721.5,692,712.5,712.3,710.66,21372589,15188685234,344247
INFY,EQ,07-Nov-19,712.3,717,724.35,712.1,720.25,720.1,718.75,13733737,9871154253,205054
INFY,EQ,08-Nov-19,720.1,722,724.25,705.5,708.3,708.15,716.33,8585630,6150137780,114589
INFY,EQ,11-Nov-19,708.15,698.9,707.2,698,703.1,704.4,703.64,6951494,4891336200,118370
INFY,EQ,13-Nov-19,704.4,696.5,700,687.75,691.45,691.35,695.08,9973690,6932539254,182739
INFY,EQ,14-Nov-19,691.35,696.35,709.8,696.35,705.05,705.3,705.92,10539902,7440318352,172258
INFY,EQ,15-Nov-19,705.3,709.05,712.95,702.3,704.6,703.9,705.52,7362623,5194471562,122419
INFY,EQ,18-Nov-19,703.9,705,710,699.3,709.9,705.2,703.53,7490916,5270093826,140015
INFY,EQ,19-Nov-19,705.2,709.9,714,705,712.8,712.85,710.87,6495885,4617726814,127941
INFY,EQ,20-Nov-19,712.85,712.8,715,705,713,713,710.95,6142171,4366791187,87462
INFY,EQ,21-Nov-19,713,715.5,721.45,710.5,712.15,713.25,714.88,9692973,6929352718,127699
INFY,EQ,22-Nov-19,713.25,711.75,712,685.1,692.95,693.2,693.38,14415826,9995652431,223156
INFY,EQ,25-Nov-19,693.2,693.35,705.15,693.2,699,698.1,698.13,7334511,5120436170,109264
INFY,EQ,26-Nov-19,698.1,705,707.25,686,692.6,690.6,693.08,27253106,18888701556,163058
INFY,EQ,27-Nov-19,690.6,694.25,697.65,690.1,696.15,695.75,694.39,3861635,2681478170,64039
INFY,EQ,28-Nov-19,695.75,699.1,703.35,694.05,701.45,701.85,698.53,4837683,3379270403,84619
INFY,EQ,29-Nov-19,701.85,700.9,702.3,691.55,695.8,696.35,695.72,4262379,2965402319,110226
INFY,EQ,02-Dec-19,696.35,703.1,704,690.3,692.75,692.7,693.51,9383736,6507684351,102880
INFY,EQ,03-Dec-19,692.7,692.7,699.7,688.55,699,698.35,696.23,5239013,3647553742,84499
INFY,EQ,04-Dec-19,698.35,697,710.5,693.35,708.25,708.85,706.09,7427886,5244767945,169304
INFY,EQ,05-Dec-19,708.85,706.45,715.9,703.8,714.1,714.85,712.06,4814422,3428139268,76989
INFY,EQ,06-Dec-19,714.85,715.95,720,709.6,714.5,715.1,715.43,5226096,3738886365,79319
INFY,EQ,09-Dec-19,715.1,716,722.35,714.25,716.05,717.25,718.66,6435865,4625177252,114112
