,TICKER,ISIN,COUNTRY_OF_PRIMARY_MARKET,TRADING_COUNTRY,TRADING_CURRENCY,IS_COMPOSITE
1,AIRp,NL0000235190,FR,,EUR,N
62,AIRd,NL0000235190,FR,GB,EUR,N
114,AIRp,NL0000235190,FR,NL,EUR,N
115,AIRd,NL0000235190,FR,GB,EUR,N
125,AIRp,NL0000235190,FR,GB,EUR,N
177,AIRp,NL0000235190,FR,GB,EUR,N
186,AIRd,NL0000235190,FR,GB,EUR,N
194,AIR,NL0000235190,FR,DE,EUR,N
217,AIR,NL0000235190,FR,ES,EUR,Y
247,AIRe,NL0000235190,FR,GB,EUR,N
271,AIR,NL0000235190,FR,FR,EUR,N
352,AIRd,NL0000235190,FR,,EUR,N
360,EADSF,NL0000235190,FR,US,USD,Y
387,AIRe,NL0000235190,FR,GB,EUR,N
398,AIRp,NL0000235190,FR,DE,EUR,N
427,AIR,NL0000235190,FR,DE,EUR,N
459,AIRe,NL0000235190,FR,GB,EUR,N
527,AIR,NL0000235190,FR,ES,EUR,N
529,AIR,NL0000235190,FR,DE,EUR,N
546,AIRe,NL0000235190,FR,,EUR,N
635,AIR,NL0000235190,FR,DE,EUR,N
703,0KVV,NL0000235190,FR,GB,EUR,N
708,EADSF,NL0000235190,FR,US,USD,N
726,EAD-U,NL0000235190,FR,IT,EUR,N
743,AIR,NL0000235190,FR,CH,CHF,N
801,AIRp,NL0000235190,FR,GB,EUR,N
896,AIR,NL0000235190,FR,DE,EUR,N
901,AIR,NL0000235190,FR,CH,CHF,Y
937,AIR,NL0000235190,FR,DE,EUR,N
961,AIR,NL0000235190,FR,DE,EUR,N
1019,AIR,NL0000235190,FR,IT,EUR,N
1089,AIR,NL0000235190,FR,DE,EUR,Y
1123,AIR,NL0000235190,FR,IT,EUR,N
1149,EADSFn,NL0000235190,FR,,USD,N
1183,AIRd,NL0000235190,FR,GB,EUR,N
1246,AIRp,NL0000235190,FR,GB,EUR,N
1278,AIR,NL0000235190,FR,CH,CHF,N
1292,AIR,NL0000235190,FR,DE,EUR,N
1336,AIRN,NL0000235190,FR,MX,MXN,N
1382,AIR,NL0000235190,FR,DE,EUR,N
1462,0KVV,NL0000235190,FR,GB,EUR,Y
1484,AIR,NL0000235190,FR,DE,EUR,N
1560,AIR,NL0000235190,FR,AT,EUR,N
1707,AIRN,NL0000235190,FR,MX,MXN,Y
1733,AIRp,NL0000235190,FR,GB,EUR,N
1746,AIRN,NL0000235190,FR,MX,MXN,N
1763,,NL0000235190,,,EUR,N
1790,AIRd,NL0000235190,FR,NL,EUR,N
1900,AIR,NL0000235190,FR,DE,EUR,N
1954,AIRp,NL0000235190,FR,FR,EUR,N
1996,AIRp,NL0000235190,FR,NL,EUR,N
2074,AIRd,NL0000235190,FR,DE,EUR,N
2078,AIRe,NL0000235190,FR,DE,EUR,N
2100,AIRP,NL0000235190,FR,FR,EUR,N
2167,AIR_KZ,NL0000235190,FR,KZ,KZT,N
2176,AIR,NL0000235190,FR,,EUR,N
2268,AIRp,NL0000235190,,,EUR,
2296,EADSFn,NL0000235190,FR,IE,USD,N
2359,AIRp,NL0000235190,FR,IE,EUR,N
2386,AIRp,NL0000235190,FR,IE,EUR,N
2439,EADSFn,NL0000235190,FR,IE,USD,N
2446,AIRp,NL0000235190,FR,GB,EUR,N
