ISIN,Currency,Shares
NL0010273215,EUR,406475276
FR0000121014,EUR,504757339
IE00BZ12WP82,EUR,552012862
FR0000120271,EUR,2609773274
FR0000120578,EUR,1265234839
DE0007164600,EUR,1228504232
FR0000120321,EUR,536280609
DE0007236101,EUR,850000000
DE0008404005,EUR,408457873
FR0000121972,EUR,569317750
FR0000120073,EUR,522936446
DE0005557508,EUR,4986458596
NL0000235190,EUR,788136199
NL0013654783,EUR,2073643605
ES0144580Y14,EUR,6437563000
DE000BAY0017,EUR,982424082
FR0000125486,EUR,592881017
FR0000131104,EUR,1234331646
BE0974293251,EUR,1737187521
FR0000121667,EUR,442457321
NL0012969182,EUR,30969860
DE0007100000,EUR,1069837447
FR0000120628,EUR,2336253270
FR0000052292,EUR,105569412
ES0113900J37,EUR,17080711029
FR0000073272,EUR,427242440
DE000BASF111,EUR,918478694
FR0000120693,EUR,261876560
FR0000121485,EUR,124692916
IT0003128367,EUR,10166679946
DE0005552004,EUR,1239059409
NL0011821202,EUR,3906921218
FR0000120644,EUR,675787600
DE0006231004,EUR,1305921137
DE0008430026,EUR,140098931
DE0005810055,EUR,190000000
DE000A1EWWW0,EUR,192100000
IT0000072618,EUR,19430463305
NL00150001Q9,EUR,3143878015
IT0003132476,EUR,3605594848
NL0011794037,EUR,1045724959
IE0001827041,EUR,774140338
ES0148396007,EUR,3116652000
ES0113211835,EUR,6667886580
DE0005190003,EUR,601995196
DE0007664039,EUR,206205445
DE000A1ML7J1,EUR,795849997
NL0000009538,EUR,883898969
FI0009013403,EUR,453187148
IE00BWT6H894,EUR,175779932
