TICKER,ISIN,COUNTRY_OF_PRIMARY_MARKET,TRADING_COUNTRY,TRADING_CURRENCY,IS_COMPOSITE
MURGFn,DE0008430026,DE,,USD,N
AIRp,NL0000235190,FR,,EUR,N
TOTB,FR0000120271,FR,DE,EUR,N
SAPd,DE0007164600,DE,GB,EUR,N
SAP,DE0007164600,DE,RO,RON,N
PDRDF,FR0000120693,FR,US,USD,N
BASd,DE000BASF111,DE,GB,EUR,N
BCDRF,ES0113900J37,ES,US,USD,N
INGA,NL0011821202,NL,CH,CHF,N
SND,FR0000121972,FR,DE,EUR,N
AXA,FR0000120628,FR,DE,EUR,N
MOH,FR0000121014,FR,DE,EUR,N
TOTB,FR0000120271,FR,DE,EUR,N
BSD2,ES0113900J37,ES,DE,EUR,N
SANe,ES0113900J37,ES,GB,EUR,N
SBGSF,FR0000121972,FR,US,USD,N
FLTRl,IE00BWT6H894,GB,GB,GBP,N
PER,FR0000120693,FR,DE,EUR,N
SND,FR0000121972,FR,DE,EUR,N
ESOCF,IT0003128367,IT,US,USD,Y
AIL,FR0000120073,FR,DE,EUR,N
MUV2,DE0008430026,DE,IT,EUR,N
RIp,FR0000120693,FR,GB,EUR,N
ADS,DE000A1EWWW0,DE,DE,EUR,N
SAPGF,DE0007164600,DE,US,USD,N
BSD2,ES0113900J37,ES,DE,EUR,N
BNCl,ES0113900J37,ES,,GBP,N
DB1d,DE0005810055,DE,GB,EUR,N
VNA,DE000A1ML7J1,DE,DE,EUR,N
BAY,DE000BAY0017,DE,IT,EUR,N
ADa,NL0011794037,NL,GB,EUR,N
VNAd,DE000A1ML7J1,DE,GB,EUR,N
SCHN,FR0000121972,FR,IT,EUR,N
ISPm,IT0000072618,IT,GB,EUR,N
MUV2,DE0008430026,DE,CH,CHF,N
SAPd,DE0007164600,DE,GB,EUR,N
IFX,DE0006231004,DE,DE,EUR,N
AIL,FR0000120073,FR,DE,EUR,N
PHIAa,NL0000009538,NL,DE,EUR,N
IFX,DE0006231004,DE,DE,EUR,N
BSD2,ES0113900J37,ES,DE,EUR,N
BFFAFn,DE000BASF111,DE,,USD,N
PHIA,NL0000009538,NL,IT,EUR,N
TTEp,FR0000120271,FR,GB,EUR,N
RIp,FR0000120693,FR,,EUR,N
RYLPF,NL0000009538,NL,US,USD,N
BCDRFn,ES0113900J37,ES,,USD,N
VOW3d,DE0007664039,DE,GB,EUR,N
SANe,ES0113900J37,ES,,EUR,N
EIPAFn,IT0003132476,IT,,USD,N
SUp,FR0000121972,FR,GB,EUR,N
SAN,ES0113900J37,ES,ES,EUR,N
0HAR,FR0000120628,FR,GB,EUR,N
CRHl,IE0001827041,GB,,GBP,N
FCAUn,NL00150001Q9,IT,,USD,N
IXD1,ES0148396007,ES,DE,EUR,N
MBG,DE0007100000,DE,DE,EUR,N
SAP,DE0007164600,DE,CH,CHF,N
INN1,NL0011821202,NL,DE,EUR,N
SANTu,ES0113900J37,ES,GB,EUR,N
VW-V,DE0007664039,DE,CH,CHF,N
ENIm,IT0003132476,IT,GB,EUR,N
AIRd,NL0000235190,FR,GB,EUR,N
IXD1,ES0148396007,ES,DE,EUR,N
MUV2,DE0008430026,DE,DE,EUR,N
CRG,IE0001827041,GB,DE,EUR,N
DPW,DE0005552004,DE,DE,EUR,N
PPX,FR0000121485,FR,DE,EUR,N
TTEp,FR0000120271,FR,,EUR,N
AXA,FR0000120628,FR,DE,EUR,N
KERp,FR0000121485,FR,DE,EUR,N
BSN,FR0000120644,FR,DE,EUR,N
SNYNF,FR0000120578,FR,US,USD,N
SU,FR0000121972,FR,FR,EUR,N
FLTRl,IE00BWT6H894,GB,GB,GBP,N
ENI,IT0003132476,IT,DE,EUR,N
SAP,DE0007164600,DE,DE,EUR,N
DB1d,DE0005810055,DE,,EUR,N
KNEBVh,FI0009013403,FI,GB,EUR,N
BMW,DE0005190003,DE,CH,CHF,Y
0P6M,DE0007236101,DE,GB,EUR,Y
MCp,FR0000121014,FR,GB,EUR,N
EI,FR0000121667,FR,CH,CHF,Y
ALV,DE0008404005,DE,DE,EUR,N
KNEBVh,FI0009013403,FI,GB,EUR,N
BMW,DE0005190003,DE,IT,EUR,N
ABIb,BE0974293251,BE,GB,EUR,N
BSN,FR0000120644,FR,DE,EUR,N
DPWd,DE0005552004,DE,GB,EUR,N
INGA-U,NL0011821202,NL,IT,EUR,N
SIEMEt,DE0007236101,DE,,HUF,N
SIEd,DE0007236101,DE,,EUR,N
KERp,FR0000121485,FR,NL,EUR,N
SAP,DE0007164600,DE,DE,EUR,N
ALV,DE0008404005,DE,DE,EUR,N
0HIT,ES0144580Y14,ES,GB,EUR,N
SEJ1,FR0000073272,FR,DE,EUR,N
PER,FR0000120693,FR,DE,EUR,N
DPW,DE0005552004,DE,DE,EUR,N
ALLA,DE0008404005,DE,NL,EUR,N
SUp,FR0000121972,FR,DE,EUR,N
BAS,DE000BASF111,DE,DE,EUR,N
VOW3d,DE0007664039,DE,GB,EUR,N
IBE1,ES0144580Y14,ES,DE,EUR,N
MBG,DE0007100000,DE,DE,EUR,N
AXA,FR0000120628,FR,HU,HUF,N
0HAR,FR0000120628,FR,GB,EUR,Y
MCp,FR0000121014,FR,NL,EUR,N
PPX,FR0000121485,FR,DE,EUR,N
SNYNF,FR0000120578,FR,US,USD,Y
0O0U,DE0005190003,DE,GB,EUR,N
DAIMLER,DE0007100000,DE,HU,HUF,N
1NBA,BE0974293251,BE,DE,EUR,N
IBE1,ES0144580Y14,ES,DE,EUR,Y
AIRp,NL0000235190,FR,NL,EUR,N
AIRd,NL0000235190,FR,GB,EUR,N
SIE,DE0007236101,DE,IT,EUR,N
ADSd,DE000A1EWWW0,DE,,EUR,N
IBE1,ES0144580Y14,ES,DE,EUR,N
ASME,NL0010273215,NL,DE,EUR,Y
0QWI,ES0148396007,ES,GB,EUR,N
IBE1,ES0144580Y14,ES,DE,EUR,N
ASME,NL0010273215,NL,DE,EUR,N
SAF,FR0000073272,FR,CH,CHF,N
MUV2d,DE0008430026,DE,GB,EUR,N
AIRp,NL0000235190,FR,GB,EUR,N
PHIAa,NL0000009538,NL,NL,EUR,N
VLKPF,DE0007664039,DE,US,USD,Y
KNYJFn,FI0009013403,FI,,USD,N
IITSFn,IT0000072618,IT,,USD,N
ORA,FR0000120321,FR,NL,EUR,N
CRHCF,IE0001827041,GB,US,USD,N
MBGd,DE0007100000,DE,GB,EUR,N
PER,FR0000120693,FR,DE,EUR,N
AIL,FR0000120073,FR,DE,EUR,N
LOR,FR0000120321,FR,DE,EUR,N
BSD2,ES0113900J37,ES,DE,EUR,N
PPBi,IE00BWT6H894,IE,GB,EUR,N
PDYPF,IE00BWT6H894,GB,US,USD,Y
LOR,FR0000120321,FR,DE,EUR,N
0RI8,NL0011794037,NL,GB,EUR,N
SIN,DE0007236101,DE,CH,CHF,N
ENI,IT0003132476,IT,DE,EUR,N
INN1d,NL0011821202,NL,GB,EUR,N
SND,FR0000121972,FR,DE,EUR,N
DPW,DE0005552004,DE,RO,RON,N
IXD1,ES0148396007,ES,DE,EUR,N
BOY,ES0113211835,ES,DE,EUR,N
CRG,IE0001827041,GB,DE,EUR,N
DB1Gn,DE0005810055,DE,IT,EUR,N
VNAd,DE000A1ML7J1,DE,DE,EUR,N
BSN,FR0000120644,FR,DE,EUR,N
