Date,Open,High,Low,Close,Adj Close,Volume,Return,Signed_Vol,Vol,SMA5_Price,SMA5_Vol,SMA5_Volume,Signal,Trade,PnL,Absolute Return,TC,Net Return,TC,0.05
03-01-2017,2251.570068,2263.879883,2245.129883,2257.830078,2257.830078,3773010000,,,,,,,0,0,,1,0.00,1,,
04-01-2017,2261.600098,2272.820068,2261.600098,2270.75,2270.75,3768890000,0.005722274,3768890000,,,,,0,0,0,1,0.00,1,,
05-01-2017,2268.179932,2271.5,2260.449951,2269,2269,3785080000,-0.00077067,-3785080000,,,,,0,0,0,1,0.00,1,,
06-01-2017,2271.139893,2282.100098,2264.060059,2276.97998,2276.97998,3342080000,0.003516959,3342080000,,,,,0,0,0,1,0.00,1,,
09-01-2017,2273.590088,2275.48999,2268.899902,2268.899902,2268.899902,3219730000,-0.003548594,-3219730000,6.910959023,2268.691992,,,0,0,0,1,0.00,1,,
10-01-2017,2269.719971,2279.27002,2265.27002,2268.899902,2268.899902,3640560000,0,0,3.485658702,2270.905957,,21232000,0,0,0,1,0.00,1,,
11-01-2017,2268.600098,2275.320068,2260.830078,2275.320068,2275.320068,3625080000,0.002829638,3625080000,3.996317605,2271.819971,,-7530000,0,0,0,1,0.00,1,,
12-01-2017,2271.139893,2271.780029,2254.25,2270.439941,2270.439941,3466220000,-0.002144809,-3466220000,3.788791939,2272.107959,,56242000,0,0,0,1,0.00,1,,
13-01-2017,2272.73999,2278.679932,2271.51001,2274.639893,2274.639893,3090680000,0.00184984,3090680000,3.122445738,2271.639941,4.260834601,5962000,1,2274.639893,0,1,0.00,1,,
17-01-2017,2269.139893,2272.080078,2262.810059,2267.889893,2267.889893,3586950000,-0.002967503,-3586950000,3.367109211,2271.437939,3.552064639,-67482000,0,0,-0.002967503,0.997032497,0.05,0.947180872,,
18-01-2017,2269.139893,2272.01001,2263.350098,2271.889893,2271.889893,3317670000,0.001763754,3317670000,3.054681599,2272.035938,3.465869219,596052000,0,0,0,0.997032497,0.00,0.997032497,,
19-01-2017,2271.899902,2274.330078,2258.409912,2263.689941,2263.689941,3168390000,-0.003609308,-3168390000,4.157597966,2269.709912,3.498125291,-762642000,-1,-2263.689941,0,0.997032497,0.00,0.997032497,,
20-01-2017,2269.959961,2276.959961,2265.01001,2271.310059,2271.310059,3536850000,0.003366237,3536850000,4.213626366,2269.883936,3.583092176,637972000,1,2271.310059,-0.003366237,0.993676249,0.05,0.943992437,,
23-01-2017,2267.780029,2271.780029,2257.02002,2265.199951,2265.199951,3155240000,-0.002690125,-3155240000,3.623419387,2267.995947,3.683286906,-611212000,0,0,-0.002690125,0.991003136,0.05,0.94145298,,
24-01-2017,2267.879883,2284.629883,2266.679932,2280.070068,2280.070068,3816950000,0.006564594,3816950000,6.492659093,2270.431982,4.308396882,869568000,1,2280.070068,0,0.991003136,0.00,0.991003136,,
25-01-2017,2288.879883,2299.550049,2288.879883,2298.370117,2298.370117,3849340000,0.008026091,3849340000,14.20204124,2275.728027,6.53786881,975902000,1,2298.370117,0.008026091,0.998957017,0.05,0.949009166,,
26-01-2017,2298.629883,2300.98999,2294.080078,2296.679932,2296.679932,3611510000,-0.000735384,-3611510000,14.85926303,2282.326025,8.678201823,887278000,1,2296.679932,-0.000735384,0.9982224,0.05,0.94831128,,
27-01-2017,2299.02002,2299.02002,2291.620117,2294.689941,2294.689941,3137420000,-0.000866464,-3137420000,14.18962563,2287.002002,10.67340167,-447576000,0,0,-0.000866464,0.997357476,0.05,0.947489602,,
30-01-2017,2286.01001,2286.01001,2268.040039,2280.899902,2280.899902,3595040000,-0.006009544,-3595040000,8.916142799,2290.141992,11.73194636,-535536000,0,0,0,0.997357476,0.00,0.997357476,,
31-01-2017,2274.02002,2279.090088,2267.209961,2278.870117,2278.870117,4089730000,-0.000889905,-4089730000,9.26436654,2289.902002,12.28628785,-2116872000,0,0,0,0.997357476,0.00,0.997357476,,
01-02-2017,2285.590088,2289.139893,2272.439941,2279.550049,2279.550049,3919190000,0.000298363,3919190000,8.773951687,2286.137988,11.20066994,-2102902000,0,0,0,0.997357476,0.00,0.997357476,,
02-02-2017,2276.689941,2283.969971,2271.649902,2280.850098,2280.850098,3809760000,0.000570309,3809760000,6.607597927,2282.972021,9.550336916,-618648000,0,0,0,0.997357476,0.00,0.997357476,,
03-02-2017,2288.540039,2298.310059,2287.879883,2297.419922,2297.419922,3605970000,0.007264758,3605970000,7.819575136,2283.518018,8.276326818,730030000,1,2297.419922,0,0.997357476,0.00,0.997357476,,
06-02-2017,2294.280029,2296.179932,2288.570068,2292.560059,2292.560059,3112390000,-0.002115357,-3112390000,8.548320753,2285.850049,8.202762409,826560000,1,2292.560059,-0.002115357,0.995247709,0.05,0.945485324,,
07-02-2017,2295.870117,2299.399902,2290.159912,2293.080078,2293.080078,3452460000,0.000226829,3452460000,7.991627349,2288.692041,7.94821457,2334998000,1,2293.080078,0.000226829,0.99547346,0.05,0.945699787,,
08-02-2017,2289.550049,2295.909912,2285.379883,2294.669922,2294.669922,3611950000,0.000693322,3611950000,6.362023204,2291.716016,7.465828874,2273550000,1,2294.669922,0.000693322,0.996163644,0.05,0.946355462,,
09-02-2017,2296.699951,2311.080078,2296.610107,2307.870117,2307.870117,3681600000,0.005752546,3681600000,6.300235906,2297.12002,7.40435647,2247918000,1,2307.870117,0.005752546,1.001894122,0.05,0.951799416,,
10-02-2017,2312.27002,2319.22998,2311.100098,2316.100098,2316.100098,3496600000,0.00356605,3496600000,10.59640883,2300.856055,7.959723209,2226044000,1,2316.100098,0.00356605,1.005466927,0.05,0.95519358,,
13-02-2017,2321.719971,2331.580078,2321.419922,2328.25,2328.25,3352370000,0.005245845,3352370000,14.79852886,2307.994043,9.209764831,3518996000,1,2328.25,0.005245845,1.01074145,0.05,0.960204378,,
14-02-2017,2326.120117,2337.580078,2322.169922,2337.580078,2337.580078,3528040000,0.004007335,3528040000,16.82886623,2316.894043,10.97721261,3534112000,1,2337.580078,0.004007335,1.01479183,0.05,0.964052239,,
15-02-2017,2335.580078,2351.300049,2334.810059,2349.25,2349.25,3785870000,0.004992309,3785870000,16.50789482,2327.810059,13.00638693,3568896000,1,2349.25,0.004992309,1.019857984,0.05,0.968865085,,
16-02-2017,2349.639893,2351.310059,2338.870117,2347.219971,2347.219971,3675900000,-0.000864118,-3675900000,13.7795464,2335.680029,14.50224903,2097396000,1,2347.219971,-0.000864118,1.018976707,0.05,0.968027871,,
17-02-2017,2343.01001,2351.159912,2339.580078,2351.159912,2351.159912,3516830000,0.001678557,3516830000,9.616633083,2342.691992,14.30629388,2101442000,1,2351.159912,0.001678557,1.020687117,0.05,0.969652761,,
