time,open,high,low,close,vol,oi,roll
2013-04-01,93.25,105.9,92.49999,104.01,4996.09041118,0.0,0.0
2013-04-02,105.5,115.79983854,99.0,115.7625,7492.19230147,0.0,0.0
2013-04-03,115.36893245,146.88,101.51088,123.0,13032.28953156,0.0,0.0
2013-04-04,122.9924,143.0,114.05778213,134.12,6663.9606641,0.0,0.0
2013-04-05,134.12,145.0,128.25,144.5,5679.72008008,0.0,0.0
2013-04-06,143.399,144.45,139.0,143.5,1566.71376346,0.0,0.0
2013-04-07,143.501,164.75,142.75,164.0,3690.0898401,0.0,0.0
2013-04-08,163.5,194.57,160.65,187.0,10244.06192072,0.0,0.0
2013-04-09,187.005,240.2,185.01,235.01,6083.60921445,0.0,0.0
2013-04-10,237.0,290.0,19.9,152.199,10971.20491307,0.0,0.0
2013-04-11,152.198,231.75,1.06,100.0,21224.29097508,0.0,0.0
2013-04-12,99.99,157.0,51.0,102.0,36587.44282283,0.0,0.0
2013-04-13,101.0,130.0,81.12,95.49,23613.47120845,0.0,0.0
2013-04-14,99.93,110.18,20.0,95.808,17557.66829813,0.0,0.0
2013-04-15,96.0,104.0,75.611,75.611,12954.45302304,0.0,0.0
2013-04-16,75.515,84.48,0.01,67.551,28295.86523517,0.0,0.0
2013-04-17,67.535,98.9,63.5,91.595,18554.94498716,0.0,0.0
2013-04-18,91.885,103.3,87.0,99.6,7626.64629131,0.0,0.0
2013-04-19,99.3,142.0,97.0,119.91,20384.68969581,0.0,0.0
2013-04-20,120.537,132.0,114.9,128.93,6682.4492428,0.0,0.0
2013-04-21,130.0,131.001,110.0,123.0,10811.43254398,0.0,0.0
2013-04-22,121.69,127.3,119.615,125.759,6630.93318147,0.0,0.0
2013-04-23,125.595,142.82,124.859,142.0,9873.62494887,0.0,0.0
2013-04-24,142.39,166.99,140.6,152.2,26334.88809281,0.0,0.0
2013-04-25,151.389,169.13,120.03,140.0,18863.95784841,0.0,0.0
2013-04-26,140.037,148.0,13.0,136.7,14744.40784582,0.0,0.0
2013-04-27,136.99,147.51,121.46,126.5,7905.20215786,0.0,0.0
2013-04-28,126.32,136.99,126.32,132.4,7124.74767266,0.0,0.0
2013-04-29,134.19,148.5,113.42,142.1,9096.20387064,0.0,0.0
2013-04-30,142.574,146.6752,133.89,138.8,9958.66593286999,0.0,0.0
2013-05-01,138.87,141.0,105.0,117.6,23121.08672166,0.0,0.0
2013-05-02,117.6,127.18,90.414,111.9,29171.63612142,0.0,0.0
2013-05-03,113.6,113.6,80.0,91.32,32516.1824171,0.0,0.0
2013-05-04,91.79,115.959,91.1,113.23,15442.85384156,0.0,0.0
2013-05-05,113.23,126.0,100.0,116.69,12879.18228203,0.0,0.0
2013-05-06,116.98,124.3,106.0,110.285,11498.84274617,0.0,0.0
2013-05-07,111.22,113.0,98.0,108.97,14540.65544006,0.0,0.0
2013-05-08,109.5,116.98,108.5,113.92,9329.2820666,0.0,0.0
2013-05-09,113.37,114.45,108.23,112.786,3939.67137865,0.0,0.0
2013-05-10,112.5,122.5,111.4,117.76,7549.91911888,0.0,0.0
2013-05-11,118.4,119.36,112.72,114.0,3843.31278201,0.0,0.0
2013-05-12,114.9,118.0,113.0,115.49,2699.28276774,0.0,0.0
2013-05-13,115.97,118.97,114.01,116.59,2556.2596005,0.0,0.0
2013-05-14,116.59,119.85,111.0,113.68,8374.31619539,0.0,0.0
2013-05-15,113.75,117.0,103.45,107.0,9678.24903961,0.0,0.0
2013-05-16,108.19,115.2,107.001,111.98,4322.20253855,0.0,0.0
2013-05-17,111.5,122.0,109.0,114.6,5277.4962098,0.0,0.0
2013-05-18,115.0,118.98,115.0,118.4,2016.6428923,0.0,0.0
2013-05-19,118.38,120.99,115.61,116.0,1386.56665935,0.0,0.0
2013-05-20,116.5,118.94,116.5,118.66,699.24338642,0.0,0.0
2013-05-21,118.89,118.91,116.0,117.45,1648.73900132,0.0,0.0
2013-05-22,117.5,120.0,117.0,119.32,2352.24146118,0.0,0.0
2013-05-23,118.98,123.889,118.0,123.8,3728.26286421,0.0,0.0
2013-05-24,123.58,130.0,121.35,127.62,7523.60733116,0.0,0.0
2013-05-25,127.48,129.73,125.1,128.44,2975.27524084,0.0,0.0
2013-05-26,128.36,133.0,127.9,129.72,2949.64426885,0.0,0.0
2013-05-27,130.25,130.59,123.0,127.6,3388.65278505,0.0,0.0
2013-05-28,127.13,127.6,123.0,126.0,2565.49523389,0.0,0.0
2013-05-29,126.04,140.68,125.54,130.28,3066.7330792,0.0,0.0
2013-05-30,130.29,131.0,124.15,126.5,4747.50716159,0.0,0.0
2013-05-31,126.8,129.1,125.06,127.4,2176.25359504,0.0,0.0
2013-06-01,127.5,129.0,126.5,128.75,938.32112482,0.0,0.0
2013-06-02,128.74,132.65,117.0,121.15,11514.45187255,0.0,0.0
2013-06-03,121.15,132.87,117.0,121.3,4593.15500261,0.0,0.0
2013-06-04,121.75,123.99,116.42,120.19,5282.96679026999,0.0,0.0
2013-06-05,120.09,122.37,119.6,120.9,1388.68073924,0.0,0.0
2013-06-06,120.67,121.33,119.0,119.3,964.19860942,0.0,0.0
2013-06-07,119.2,119.24,107.0,110.28,9162.58281177,0.0,0.0
2013-06-08,110.29,112.5,108.45,109.72,1944.24591754,0.0,0.0
2013-06-09,109.49,110.0,89.9,101.91,14328.36546241,0.0,0.0
2013-06-10,101.9,108.0,93.0,105.01,9840.36081390001,0.0,0.0
2013-06-11,105.06,108.03,103.4,107.07,3297.09113739,0.0,0.0
2013-06-12,107.06,119.0,105.0,107.12,4241.01600352,0.0,0.0
2013-06-13,107.11,109.14,99.9,99.9,3959.65946435,0.0,0.0
2013-06-14,100.0,107.36,95.0,98.0,7324.97336014,0.0,0.0
2013-06-15,98.02,104.0,96.22,100.7,2339.30035241,0.0,0.0
2013-06-16,100.6,101.1,99.1,99.8,1090.87564627,0.0,0.0
2013-06-17,99.8,101.01,98.3,100.07,1290.36565387,0.0,0.0
2013-06-18,100.03,108.5,99.99,103.19,5765.46423958,0.0,0.0
2013-06-19,103.18,107.5,102.82,104.3,2417.24052219,0.0,0.0
2013-06-20,104.9,108.0,103.0,104.95,4456.97398166,0.0,0.0
2013-06-21,104.61,105.76,91.0,102.7,6266.61108858,0.0,0.0
2013-06-22,102.7,103.0,98.49,100.2,1556.02287015,0.0,0.0
2013-06-23,100.2,101.5,98.6,100.0,736.43147966,0.0,0.0
2013-06-24,100.0,102.13,95.38,98.6,2622.85842215,0.0,0.0
2013-06-25,99.0,100.9,98.0,98.5,3054.35083178,0.0,0.0
2013-06-26,98.35,100.0,96.99,98.41,1585.45077542,0.0,0.0
2013-06-27,99.08898,99.11,97.0,97.5,831.90644782,0.0,0.0
2013-06-28,97.9,98.09,88.01,90.40959,7297.52829874,0.0,0.0
2013-06-29,90.81,91.6,86.15,88.56,1745.80278753,0.0,0.0
2013-06-30,88.71,90.25,87.92,89.4,558.2766285,0.0,0.0
2013-07-01,89.52,91.56,1.0,82.59,5991.20207862,0.0,0.0
2013-07-02,82.42,88.29,82.42,88.2,6402.43060281,0.0,0.0
2013-07-03,88.01,89.56,78.44,79.99,5542.50839726,0.0,0.0
2013-07-04,79.98,82.0,70.04,78.53,8976.70139173,0.0,0.0
2013-07-05,79.57,80.0,64.0,67.5,12492.87740765,0.0,0.0
2013-07-06,67.5,73.26,63.12,66.2,9806.31577163,0.0,0.0
2013-07-07,65.36,70.05,62.94,69.84,4781.78963563,0.0,0.0
2013-07-08,70.01,77.0,69.52,74.25,9319.06711983,0.0,0.0
2013-07-09,74.39,76.01,70.47,75.0,6957.62312241,0.0,0.0
2013-07-10,75.1,87.0,74.3,85.12,9246.35290269,0.0,0.0
2013-07-11,85.27,89.23,82.51,86.36,7473.40717757,0.0,0.0
2013-07-12,86.56,101.39,86.13,89.11,14978.26933671,0.0,0.0
2013-07-13,88.67,91.53,85.0,89.0,3831.22405584,0.0,0.0
2013-07-14,89.49,93.0,89.49,91.5,2599.3905648,0.0,0.0
2013-07-15,91.31,99.83,82.45,93.88,5951.53943125,0.0,0.0
2013-07-16,93.95,94.5,84.7,91.72,2172.80659654,0.0,0.0
2013-07-17,91.71,92.8,89.22,90.97,1999.83374119,0.0,0.0
2013-07-18,90.85,91.23,77.0,85.85,7574.54158947,0.0,0.0
2013-07-19,85.12,87.1,83.4,85.91,4777.91303393,0.0,0.0
2013-07-20,85.65,87.2,85.0,85.6,867.11625818,0.0,0.0
2013-07-21,85.6,86.4,84.0,85.45,1951.28740309,0.0,0.0
2013-07-22,85.37,87.1,83.99,86.03,1278.10162742,0.0,0.0
2013-07-23,84.64,88.67,82.99,87.49,3418.43624085,0.0,0.0
2013-07-24,87.48,95.68,86.46,88.28,1461.53705223,0.0,0.0
2013-07-25,88.16,91.99899,87.15,90.01,3453.16104125,0.0,0.0
2013-07-26,89.87,91.72,89.2,90.37,915.62679283,0.0,0.0
2013-07-27,90.27,90.27,87.8,87.93,1422.74107873,0.0,0.0
2013-07-28,87.92,94.0,87.91,93.94,3201.75464536,0.0,0.0
2013-07-29,93.28,93.73,90.54,92.55,2825.36059341,0.0,0.0
2013-07-30,93.40661,96.65,92.7,95.52,2931.45842513,0.0,0.0
2013-07-31,95.54,101.03,94.95,99.04,6046.10927132,0.0,0.0
2013-08-01,98.66,99.16,95.21,96.03,3714.20006145,0.0,0.0
2013-08-02,96.11,98.7,93.75,96.56,5374.22234184,0.0,0.0
2013-08-03,96.29,97.23,94.67,95.66,2225.9439824,0.0,0.0
2013-08-04,96.04,96.7,95.3,96.48,921.76365009,0.0,0.0
2013-08-05,96.32,98.91,96.21,98.25,2891.94193553,0.0,0.0
2013-08-06,98.1,98.9,96.55,97.9,2386.37917672,0.0,0.0
2013-08-07,97.89,98.3,97.0,97.73,1600.4354221,0.0,0.0
2013-08-08,97.74,97.77,91.4,93.6,4710.34506637,0.0,0.0
2013-08-09,93.25,95.51,89.51,92.55,5814.06507123,0.0,0.0
2013-08-10,92.66,94.0,92.03,93.45,815.44895974,0.0,0.0
2013-08-11,93.44,94.33,92.99,94.07,673.69456426,0.0,0.0
2013-08-12,94.3,94.76,93.31,94.71,1843.54983491,0.0,0.0
2013-08-13,94.72,97.1,94.23,97.1,3797.81193471,0.0,0.0
