,model,lag,alpha,test_rmse
0,ols,0,,0.017752489288086835
1,lasso,0,0.0,0.01775248928808683
2,ridge,0,0.0,0.017752489288086874
3,elastic_net,0,"(0.1, 0.0)",0.017821821219639735
0,ols,1,,0.01777407863146158
1,lasso,1,0.0,0.017774078631461618
2,ridge,1,0.0,0.01777407863146168
3,elastic_net,1,"(0.1, 0.0)",0.017821832636603068
0,ols,3,,0.017773045041599714
1,lasso,3,0.0,0.01777304504159968
2,ridge,3,0.0,0.01777304504159968
3,elastic_net,3,"(0.1, 0.0)",0.017831199020622433
0,ols,5,,0.017722189631511454
1,lasso,5,0.0,0.017722189631511374
2,ridge,5,0.0,0.017722189631511363
3,elastic_net,5,"(0.1, 0.0)",0.01784506239117754
0,ols,7,,0.017723957833961263
1,lasso,7,0.0,0.01772395783396124
2,ridge,7,0.0,0.017723957833961253
3,elastic_net,7,"(0.1, 0.0)",0.01785728121059609
0,ols,10,,0.0178137897277798
1,lasso,10,0.0,0.017813789727779684
2,ridge,10,0.0,0.017813789727779656
3,elastic_net,10,"(0.1, 0.0)",0.017880208962474036
0,ols,14,,0.017798463852083463
1,lasso,14,0.1,0.017872727806492694
2,ridge,14,1.0,0.017699522665602405
3,elastic_net,14,"(0.1, 0.0)",0.01786046186845285
0,ols,20,,0.01773455715544337
1,lasso,20,0.1,0.017899092206831904
2,ridge,20,0.0,0.017734557155443503
3,elastic_net,20,"(0.1, 0.0)",0.017890242080126247
0,ols,21,,0.01774143108352803
1,lasso,21,0.1,0.01789922450465425
2,ridge,21,1.0,0.017642669720668414
3,elastic_net,21,"(0.1, 0.0)",0.01789267727816022
0,ols,22,,0.017792176593723532
1,lasso,22,0.1,0.01789691999641647
2,ridge,22,1.0,0.01768559810376045
3,elastic_net,22,"(0.1, 0.0)",0.01789485545968275
