,model,lag,alpha,test_rmse
0,ols,0,,0.017675004543294435
1,lasso,0,0.0,0.01715482059514648
2,ridge,0,0.0,0.017675004553041378
3,elastic_net,0,"(0.0, 0.0)",0.01715482059514648
0,ols,1,,0.017674983096937807
1,lasso,1,0.0,0.017147756912483554
2,ridge,1,0.0,0.017674983106246236
3,elastic_net,1,"(0.0, 0.0)",0.017147756912483554
0,ols,3,,0.01765760189505941
1,lasso,3,0.0,0.017119545839501732
2,ridge,3,0.1,0.017063730786888477
3,elastic_net,3,"(0.0, 0.0)",0.017119545839501732
0,ols,5,,0.017640096995254498
1,lasso,5,0.0,0.01709691693540716
2,ridge,5,0.1,0.017052037120164773
3,elastic_net,5,"(0.0, 0.0)",0.01709691693540716
0,ols,7,,0.017766216342163896
1,lasso,7,0.0,0.017260134724987074
2,ridge,7,0.1,0.017204463043347933
3,elastic_net,7,"(0.0, 0.0)",0.017260134724987074
0,ols,10,,0.01785401179201048
1,lasso,10,0.0,0.01733532754708348
2,ridge,10,0.0,0.017854011793807446
3,elastic_net,10,"(0.0, 0.0)",0.01733532754708348
0,ols,14,,0.017831070704004838
1,lasso,14,0.0,0.017371893475981396
2,ridge,14,0.0,0.01783107070615279
3,elastic_net,14,"(0.0, 0.0)",0.017371893475981396
0,ols,20,,0.017761215204830066
1,lasso,20,0.0,0.017299023447304045
2,ridge,20,0.0,0.01776121520530538
3,elastic_net,20,"(0.0, 0.0)",0.017299023447304045
0,ols,21,,0.017772811710481166
1,lasso,21,0.0,0.017316223634693984
2,ridge,21,1.0,0.017224929694975157
3,elastic_net,21,"(0.0, 0.0)",0.017316223634693984
0,ols,22,,0.017817741125579132
1,lasso,22,0.0,0.01736385686611632
2,ridge,22,1.0,0.01728218725333681
3,elastic_net,22,"(0.0, 0.0)",0.01736385686611632
