,model,lag,alpha,test_rmse
0,ols,0,,0.02229447586912438
1,lasso,0,0.0,0.02229447585757825
2,ridge,0,1.0,0.02151265632540858
3,elastic_net,0,"(0.0, 0.0)",0.02229447585757825
0,ols,1,,0.022529292580297084
1,lasso,1,0.0,0.022529292564137084
2,ridge,1,1.0,0.021646910855221416
3,elastic_net,1,"(0.0, 0.0)",0.022529292564137084
0,ols,3,,0.022819412000791253
1,lasso,3,1.0,0.017804528407824996
2,ridge,3,1.0,0.021793696375104848
3,elastic_net,3,"(0.1, 0.0)",0.01776256515015456
0,ols,5,,0.022583443936643566
1,lasso,5,1.0,0.017797314068966712
2,ridge,5,1.0,0.02150943909922995
3,elastic_net,5,"(0.1, 0.0)",0.017756133787483575
0,ols,7,,0.02240241421475168
1,lasso,7,1.0,0.017810518698437194
2,ridge,7,1.0,0.021354558617273457
3,elastic_net,7,"(0.1, 0.0)",0.017770587591394882
0,ols,10,,0.022604645838557265
1,lasso,10,1.0,0.01782517652461829
2,ridge,10,1.0,0.021500016416533478
3,elastic_net,10,"(0.1, 0.0)",0.017787119055585634
0,ols,14,,0.022396935324793775
1,lasso,14,1.0,0.01784727262888585
2,ridge,14,1.0,0.02129262556282986
3,elastic_net,14,"(0.1, 0.0)",0.017804842966696963
0,ols,20,,0.022817071800174386
1,lasso,20,1.0,0.017848339348313397
2,ridge,20,1.0,0.021635134054250306
3,elastic_net,20,"(0.1, 0.0)",0.0178086804453259
0,ols,21,,0.02288982313763762
1,lasso,21,1.0,0.017854567880974535
2,ridge,21,1.0,0.02169747914210556
3,elastic_net,21,"(0.1, 0.0)",0.017814868982324577
0,ols,22,,0.022759034109763716
1,lasso,22,1.0,0.017860425125743845
2,ridge,22,1.0,0.021618981260041876
3,elastic_net,22,"(0.1, 0.0)",0.017823638134598006
