,model,lag,alpha,test_rmse
0,ols,0,,0.017752489288086835
1,lasso,0,0.0,0.01775248928808683
2,ridge,0,0.0,0.017752489288086874
3,elastic_net,0,"(0.1, 0.0)",0.017821821219639735
0,ols,1,,0.017860412756463846
1,lasso,1,0.1,0.017861118620258562
2,ridge,1,1.0,0.017733997256963868
3,elastic_net,1,"(0.5, 0.0)",0.01784738098620697
0,ols,2,,0.017875145555210862
1,lasso,2,0.1,0.01792525608989737
2,ridge,2,1.0,0.01780730586870812
3,elastic_net,2,"(0.9, 0.0)",0.017924378079860158
0,ols,3,,0.01777904139446443
1,lasso,3,0.1,0.017941814394574172
2,ridge,3,1.0,0.017663599138772548
3,elastic_net,3,"(1.0, 0.0)",0.017944777288531638
0,ols,4,,0.017946890353977604
1,lasso,4,0.1,0.01794996999344775
2,ridge,4,1.0,0.017771088690699995
3,elastic_net,4,"(1.0, 0.0)",0.017982370040711917
0,ols,5,,0.01804852333759902
1,lasso,5,0.1,0.017914410653297335
2,ridge,5,0.1,0.017924739803710666
3,elastic_net,5,"(0.1, 0.1)",0.017914410653297335
0,ols,6,,0.018165458474497694
1,lasso,6,0.1,0.01792099445533843
2,ridge,6,0.1,0.01804742793482976
3,elastic_net,6,"(0.1, 0.1)",0.01792099445533843
0,ols,7,,0.018053397716853478
1,lasso,7,0.1,0.017818577949131827
2,ridge,7,1.0,0.017781393213630686
3,elastic_net,7,"(0.1, 0.1)",0.017818577949131827
