,model,lag,alpha,test_rmse
0,ols,0,,0.017945940772821408
1,lasso,0,0.0,0.017945766178511773
2,ridge,0,0.1,0.01795284375602802
3,elastic_net,0,"(0.0, 0.0)",0.017945766178511773
0,ols,1,,0.017963601650155116
1,lasso,1,0.0,0.017963443431573065
2,ridge,1,0.1,0.017969466738212144
3,elastic_net,1,"(0.0, 0.0)",0.017963443431573065
0,ols,3,,0.017959760468200563
1,lasso,3,0.0,0.01795959325648984
2,ridge,3,1.0,0.017974483804953617
3,elastic_net,3,"(0.1, 0.0)",0.017981083164108975
0,ols,5,,0.017907157383947752
1,lasso,5,0.0,0.017906979027769
2,ridge,5,1.0,0.01792493671349121
3,elastic_net,5,"(0.1, 0.0)",0.0179928306344177
0,ols,7,,0.017895420281367296
1,lasso,7,0.0,0.0178952358344072
2,ridge,7,1.0,0.017914603555536777
3,elastic_net,7,"(0.1, 0.0)",0.01800642497652645
0,ols,10,,0.017977280840688878
1,lasso,10,0.0,0.017977096798331125
2,ridge,10,1.0,0.017991720028477178
3,elastic_net,10,"(0.0, 0.0)",0.017977096798331125
0,ols,14,,0.01795839319593597
1,lasso,14,0.0,0.01795821281247118
2,ridge,14,1.0,0.017971364241821965
3,elastic_net,14,"(0.1, 0.0)",0.01800709637149492
0,ols,20,,0.017872966756373745
1,lasso,20,0.1,0.018054486180372798
2,ridge,20,1.0,0.01789039651330463
3,elastic_net,20,"(0.1, 0.0)",0.018042100588291143
0,ols,21,,0.017878933670703465
1,lasso,21,0.1,0.018052867163253668
2,ridge,21,1.0,0.017896443593405635
3,elastic_net,21,"(0.1, 0.0)",0.018042932073364028
0,ols,22,,0.017921433462995674
1,lasso,22,0.1,0.018052792480720718
2,ridge,22,1.0,0.017936862612105513
3,elastic_net,22,"(0.1, 0.0)",0.018047022942244667
