,model,lag,alpha,test_rmse
0,ols,0,,0.017010885744742767
1,lasso,0,0.0,0.017001509422965157
2,ridge,0,1.0,0.016949776846943175
3,elastic_net,0,"(0.0, 0.0)",0.017001509422965157
0,ols,1,,0.01712755534067866
1,lasso,1,0.0,0.01711647841932155
2,ridge,1,1.0,0.016971049981177357
3,elastic_net,1,"(0.0, 0.0)",0.01711647841932155
0,ols,3,,0.017109964801385154
1,lasso,3,0.0,0.017098884901520107
2,ridge,3,1.0,0.01695558308294839
3,elastic_net,3,"(0.0, 0.0)",0.017098884901520107
0,ols,5,,0.01704847727799659
1,lasso,5,0.0,0.017036809315070033
2,ridge,5,1.0,0.01689852815664339
3,elastic_net,5,"(0.0, 0.0)",0.017036809315070033
0,ols,7,,0.01714870422136756
1,lasso,7,0.0,0.017136373420508628
2,ridge,7,1.0,0.0169781788689565
3,elastic_net,7,"(0.0, 0.0)",0.017136373420508628
0,ols,10,,0.01716979556408271
1,lasso,10,0.0,0.017157832576718456
2,ridge,10,1.0,0.01700249643526048
3,elastic_net,10,"(0.0, 0.0)",0.017157832576718456
0,ols,14,,0.017257568963214665
1,lasso,14,0.0,0.017245700701657266
2,ridge,14,1.0,0.01708611445595474
3,elastic_net,14,"(0.0, 0.0)",0.017245700701657266
0,ols,20,,0.01726355266021929
1,lasso,20,0.0,0.01725092532314729
2,ridge,20,1.0,0.01709086593099018
3,elastic_net,20,"(0.0, 0.0)",0.01725092532314729
0,ols,21,,0.017329558561606728
1,lasso,21,0.0,0.01731700498062545
2,ridge,21,1.0,0.017148930674163818
3,elastic_net,21,"(0.0, 0.0)",0.01731700498062545
0,ols,22,,0.017392887002058006
1,lasso,22,0.0,0.017380571260237548
2,ridge,22,1.0,0.017207715714613426
3,elastic_net,22,"(0.0, 0.0)",0.017380571260237548
