,model,lag,alpha,test_rmse
0,ols,0,,0.017752489288086835
1,lasso,0,0.0,0.01775248928808683
2,ridge,0,0.0,0.017752489288086874
3,elastic_net,0,"(0.1, 0.0)",0.017821821219639735
0,ols,1,,0.01777407863146158
1,lasso,1,0.0,0.017774078631461618
2,ridge,1,0.0,0.01777407863146168
3,elastic_net,1,"(0.1, 0.0)",0.017821832636603068
0,ols,2,,0.017768905634115203
1,lasso,2,0.0,0.01776890563411526
2,ridge,2,0.0,0.017768905634115265
3,elastic_net,2,"(0.1, 0.0)",0.017826083315421595
0,ols,3,,0.017773045041599714
1,lasso,3,0.0,0.01777304504159968
2,ridge,3,0.0,0.01777304504159968
3,elastic_net,3,"(0.1, 0.0)",0.017831199020622433
0,ols,4,,0.017749524181034145
1,lasso,4,0.0,0.017749524181034176
2,ridge,4,0.0,0.01774952418103418
3,elastic_net,4,"(0.1, 0.0)",0.017837472233217737
0,ols,5,,0.017722189631511454
1,lasso,5,0.0,0.017722189631511374
2,ridge,5,0.0,0.017722189631511363
3,elastic_net,5,"(0.1, 0.0)",0.01784506239117754
0,ols,6,,0.017712496517281028
1,lasso,6,0.0,0.017712496517281056
2,ridge,6,0.0,0.01771249651728107
3,elastic_net,6,"(0.1, 0.0)",0.0178497564567336
0,ols,7,,0.017723957833961263
1,lasso,7,0.0,0.01772395783396124
2,ridge,7,0.0,0.017723957833961253
3,elastic_net,7,"(0.1, 0.0)",0.01785728121059609
0,ols,8,,0.017720493098576574
1,lasso,8,0.0,0.017720493098576647
2,ridge,8,0.0,0.017720493098576623
3,elastic_net,8,"(0.1, 0.0)",0.017862581717818887
0,ols,9,,0.017725091051872463
1,lasso,9,0.0,0.017725091051872473
2,ridge,9,1.0,0.01764389337609761
3,elastic_net,9,"(0.1, 0.0)",0.017869972025524355
0,ols,10,,0.0178137897277798
1,lasso,10,0.0,0.017813789727779684
2,ridge,10,0.0,0.017813789727779656
3,elastic_net,10,"(0.1, 0.0)",0.017880208962474036
0,ols,11,,0.01785686744442378
1,lasso,11,0.0,0.017856867444423805
2,ridge,11,0.0,0.017856867444423843
3,elastic_net,11,"(0.1, 0.0)",0.017888518753985356
0,ols,12,,0.017850639911817033
1,lasso,12,0.0,0.017850639911817012
2,ridge,12,0.0,0.017850639911817137
3,elastic_net,12,"(0.1, 0.0)",0.017884671851715772
0,ols,13,,0.017834445436834347
1,lasso,13,0.1,0.01787930586860594
2,ridge,13,0.0,0.017834445436834278
3,elastic_net,13,"(0.1, 0.0)",0.017874904537026334
0,ols,14,,0.017798463852083463
1,lasso,14,0.1,0.017872727806492694
2,ridge,14,1.0,0.017699522665602405
3,elastic_net,14,"(0.1, 0.0)",0.01786046186845285
0,ols,15,,0.01780044737579407
1,lasso,15,0.1,0.01787488673637464
2,ridge,15,1.0,0.017703997523165434
3,elastic_net,15,"(0.1, 0.0)",0.01786307673180997
0,ols,16,,0.017770245063520835
1,lasso,16,0.0,0.017770245063520835
2,ridge,16,1.0,0.017669475717696562
3,elastic_net,16,"(0.1, 0.0)",0.017867121800158273
0,ols,17,,0.01773628601767284
1,lasso,17,0.0,0.017736286017672766
2,ridge,17,1.0,0.0176341027435478
3,elastic_net,17,"(0.1, 0.0)",0.017874446649171153
0,ols,18,,0.017741353105466814
1,lasso,18,0.0,0.017741353105466838
2,ridge,18,1.0,0.017638399569902815
3,elastic_net,18,"(0.1, 0.0)",0.017881876624171872
0,ols,19,,0.017735207196376845
1,lasso,19,0.1,0.01789725961059898
2,ridge,19,0.0,0.017735207196376807
3,elastic_net,19,"(0.1, 0.0)",0.017884923827358044
0,ols,20,,0.01773455715544337
1,lasso,20,0.1,0.017899092206831904
2,ridge,20,0.0,0.017734557155443503
3,elastic_net,20,"(0.1, 0.0)",0.017890242080126247
0,ols,21,,0.01774143108352803
1,lasso,21,0.1,0.01789922450465425
2,ridge,21,1.0,0.017642669720668414
3,elastic_net,21,"(0.1, 0.0)",0.01789267727816022
0,ols,22,,0.017792176593723532
1,lasso,22,0.1,0.01789691999641647
2,ridge,22,1.0,0.01768559810376045
3,elastic_net,22,"(0.1, 0.0)",0.01789485545968275
0,ols,23,,0.017875065975566776
