,model,lag,alpha,test_rmse
1,lasso,23,0.1,0.0179055825921829
2,ridge,23,1.0,0.01776486855388645
3,elastic_net,23,"(0.1, 0.0)",0.017903524034227476
0,ols,24,,0.017868052900161784
1,lasso,24,0.1,0.017908980786246975
2,ridge,24,1.0,0.017758091234845886
3,elastic_net,24,"(0.1, 0.0)",0.017906014614019798
0,ols,25,,0.017838155003454002
1,lasso,25,0.1,0.017905442868897396
2,ridge,25,1.0,0.01773154014161997
3,elastic_net,25,"(0.1, 0.0)",0.01789863348546415
0,ols,26,,0.017801994910151452
1,lasso,26,0.1,0.017881032771488132
2,ridge,26,1.0,0.017693859611307622
3,elastic_net,26,"(0.1, 0.0)",0.017869094747085697
0,ols,27,,0.017785162140720318
1,lasso,27,0.1,0.01786228425633272
2,ridge,27,1.0,0.017669986027118535
3,elastic_net,27,"(0.1, 0.0)",0.017845017966459167
0,ols,28,,0.01777972009946556
1,lasso,28,0.1,0.017858240883131007
2,ridge,28,1.0,0.01766138295537799
3,elastic_net,28,"(0.1, 0.0)",0.017837788292517098
0,ols,29,,0.017786669961639915
1,lasso,29,0.1,0.01785530950241311
2,ridge,29,1.0,0.0176722899633148
3,elastic_net,29,"(0.1, 0.0)",0.017833133868984826
0,ols,30,,0.017800001839547226
1,lasso,30,0.1,0.017861638506622535
2,ridge,30,1.0,0.017684883657132694
3,elastic_net,30,"(0.1, 0.0)",0.017838165194390868
0,ols,31,,0.017804105374646894
1,lasso,31,0.1,0.01786826410137714
2,ridge,31,1.0,0.017692554591527552
3,elastic_net,31,"(0.1, 0.0)",0.01784490864020436
