,model,lag,alpha,test_rmse
0,ols,0,,0.01719139300843021
1,lasso,0,1.0,0.016908003536100683
2,ridge,0,1.0,0.01712235306476225
3,elastic_net,0,"(0.1, 0.0)",0.016918405740703767
0,ols,1,,0.01719524870920626
1,lasso,1,1.0,0.016908003536100683
2,ridge,1,1.0,0.01711994498710361
3,elastic_net,1,"(0.1, 0.0)",0.016918380475343338
0,ols,3,,0.01717695267561785
1,lasso,3,1.0,0.016908003536100683
2,ridge,3,1.0,0.017094337563884256
3,elastic_net,3,"(0.1, 0.0)",0.01691822978708241
0,ols,5,,0.017255037094582926
1,lasso,5,1.0,0.016908003536100683
2,ridge,5,0.0,0.01725503709504953
3,elastic_net,5,"(0.1, 0.0)",0.01691786146129075
0,ols,7,,0.017341759121816194
1,lasso,7,1.0,0.016908003536100683
2,ridge,7,0.0,0.01734175912212109
3,elastic_net,7,"(0.1, 0.0)",0.016918479487679813
0,ols,10,,0.017410080976097947
1,lasso,10,1.0,0.016908003536100683
2,ridge,10,0.0,0.017410080975993447
3,elastic_net,10,"(0.1, 0.0)",0.016918404170740028
0,ols,14,,0.017454171493124667
1,lasso,14,1.0,0.016908003536100683
2,ridge,14,1.0,0.017357615602592982
3,elastic_net,14,"(0.1, 0.0)",0.016918934252433286
0,ols,20,,0.01738707014779182
1,lasso,20,1.0,0.016908003536100683
2,ridge,20,1.0,0.017288017309786425
3,elastic_net,20,"(0.1, 0.0)",0.01691844899318564
0,ols,21,,0.017396328638991744
1,lasso,21,1.0,0.016908003536100683
2,ridge,21,1.0,0.01731098549855398
3,elastic_net,21,"(0.1, 0.0)",0.01691851741930783
0,ols,22,,0.01745237135746263
1,lasso,22,1.0,0.016908003536100683
2,ridge,22,1.0,0.01737343653108284
3,elastic_net,22,"(0.1, 0.0)",0.016918788137697306
