,model,lag,alpha,test_rmse
0,ols,0,,0.017588627606298132
1,lasso,0,0.1,0.01782621513129384
2,ridge,0,1.0,0.01758987546100869
3,elastic_net,0,"(0.1, 0.0)",0.01779601447019981
0,ols,1,,0.01758862760629818
1,lasso,1,0.1,0.01782621513129384
2,ridge,1,1.0,0.017588597103686664
3,elastic_net,1,"(0.1, 0.0)",0.01779602529883987
0,ols,3,,0.017579437519140106
1,lasso,3,0.1,0.017834525958684237
2,ridge,3,1.0,0.017583510955938773
3,elastic_net,3,"(0.1, 0.0)",0.017804969253234458
0,ols,5,,0.01751745321609229
1,lasso,5,0.1,0.017845020728303216
2,ridge,5,1.0,0.017524792457378164
3,elastic_net,5,"(0.1, 0.0)",0.017818079991272464
0,ols,7,,0.017510319370655586
1,lasso,7,0.1,0.017853066743560787
2,ridge,7,1.0,0.01751755458133183
3,elastic_net,7,"(0.1, 0.0)",0.017829437936908967
0,ols,10,,0.017608966828171885
1,lasso,10,0.1,0.017873115564181
2,ridge,10,1.0,0.017605505290852797
3,elastic_net,10,"(0.1, 0.0)",0.01785176746415099
0,ols,14,,0.017593505534180254
1,lasso,14,0.1,0.017872727806492694
2,ridge,14,1.0,0.01758590991075766
3,elastic_net,14,"(0.1, 0.0)",0.01783556574466215
0,ols,20,,0.017530683393454694
1,lasso,20,0.1,0.017899092206831904
2,ridge,20,1.0,0.017524495805291793
3,elastic_net,20,"(0.1, 0.0)",0.01786497932377147
0,ols,21,,0.017537010667608134
1,lasso,21,0.1,0.01789922450465425
2,ridge,21,1.0,0.017529850874395066
3,elastic_net,21,"(0.1, 0.0)",0.0178670299774759
0,ols,22,,0.01758447130527933
1,lasso,22,0.1,0.01789691999641647
2,ridge,22,1.0,0.01757167841349979
3,elastic_net,22,"(0.1, 0.0)",0.017868559768898767
