,model,lag,alpha,test_rmse
0,ols,0,,0.01724592048906472
1,lasso,0,0.0,0.017211932622749757
2,ridge,0,1.0,0.017227570414129468
3,elastic_net,0,"(0.0, 0.0)",0.017211932622749757
0,ols,1,,0.0172459204890652
1,lasso,1,0.0,0.01721152792870006
2,ridge,1,1.0,0.01722720765550979
3,elastic_net,1,"(0.0, 0.0)",0.01721152792870006
0,ols,3,,0.017230213749413928
1,lasso,3,0.0,0.017194958548581156
2,ridge,3,1.0,0.01720812244141358
3,elastic_net,3,"(0.0, 0.0)",0.017194958548581156
0,ols,5,,0.017177534520646163
1,lasso,5,0.0,0.017143699929268022
2,ridge,5,1.0,0.01716256039603746
3,elastic_net,5,"(0.0, 0.0)",0.017143699929268022
0,ols,7,,0.017211203788572934
1,lasso,7,0.0,0.01717734825797484
2,ridge,7,1.0,0.017197526001542462
3,elastic_net,7,"(0.0, 0.0)",0.01717734825797484
0,ols,10,,0.017252613271895707
1,lasso,10,0.0,0.017219286330125656
2,ridge,10,1.0,0.01723399231830864
3,elastic_net,10,"(0.0, 0.0)",0.017219286330125656
0,ols,14,,0.01731483987931271
1,lasso,14,0.0,0.01728277823239466
2,ridge,14,1.0,0.01730268439380026
3,elastic_net,14,"(0.0, 0.0)",0.01728277823239466
0,ols,20,,0.017323153539130647
1,lasso,20,0.0,0.017291518648379335
2,ridge,20,1.0,0.017299297189153386
3,elastic_net,20,"(0.0, 0.0)",0.017291518648379335
0,ols,21,,0.017381401381879713
1,lasso,21,0.0,0.017351777294621274
2,ridge,21,1.0,0.017355230130350566
3,elastic_net,21,"(0.0, 0.0)",0.017351777294621274
0,ols,22,,0.017455407868226806
1,lasso,22,0.0,0.017424906330263345
2,ridge,22,1.0,0.017424986063321074
3,elastic_net,22,"(0.0, 0.0)",0.017424906330263345
