,model,lag,alpha,test_rmse
0,ols,0,,0.025536156059390018
1,lasso,0,0.0,0.02553615605942019
2,ridge,0,1.0,0.024046808863779832
3,elastic_net,0,"(0.0, 0.0)",0.02553615605942019
0,ols,1,,0.02584735065486849
1,lasso,1,0.0,0.025847350654799955
2,ridge,1,1.0,0.02422881403889318
3,elastic_net,1,"(0.1, 0.0)",0.017826790790423954
0,ols,3,,0.02640356091009466
1,lasso,3,1.0,0.0178131377448498
2,ridge,3,1.0,0.024543359895066348
3,elastic_net,3,"(0.1, 0.0)",0.017838937922928
0,ols,5,,0.026310154371916767
1,lasso,5,1.0,0.01780593886897878
2,ridge,5,1.0,0.024315043180406865
3,elastic_net,5,"(0.1, 0.0)",0.01783334446150154
0,ols,7,,0.0262469771755019
1,lasso,7,1.0,0.017819112246861907
2,ridge,7,1.0,0.02419979258258249
3,elastic_net,7,"(0.1, 0.0)",0.017848326649073844
0,ols,10,,0.026517858861989707
1,lasso,10,1.0,0.017833850675140827
2,ridge,10,1.0,0.02436602590949519
3,elastic_net,10,"(0.1, 0.0)",0.01786593565491047
0,ols,14,,0.026209687291962176
1,lasso,14,1.0,0.017855216432787886
2,ridge,14,1.0,0.024050235510467675
3,elastic_net,14,"(0.1, 0.0)",0.017883205349768266
0,ols,20,,0.02656114453915851
1,lasso,20,1.0,0.017857191926209985
2,ridge,20,1.0,0.024395464625164624
3,elastic_net,20,"(0.1, 0.0)",0.017886236123837457
0,ols,21,,0.02662249772476953
1,lasso,21,1.0,0.017863450307422826
2,ridge,21,1.0,0.0244534810574653
3,elastic_net,21,"(0.1, 0.0)",0.017892463967499595
0,ols,22,,0.026498081670471164
1,lasso,22,1.0,0.017869607558401963
2,ridge,22,1.0,0.02438198771944038
3,elastic_net,22,"(0.1, 0.0)",0.01790134349023232
